instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1,signal_2,signal_1_7d,signal_2_7d,signal_3_7d,signal_3_31d
1215745,4749,CONCOR,CONTAINER CORP OF IND,0,,0,0.05,1,EQ,NSE,NSE,0.5823655913978495,0.3157894736842105,0.4342857142857143,0.3333333333333333,0.8328593886733354,-0.1971828810076732
3039233,11872,GRANULES,GRANULES INDIA,0,,0,0.05,1,EQ,NSE,NSE,0.5427956989247313,0.15789473684210525,0.38476190476190475,0.0,1.0050571319227983,-0.20153335099180983
245249,958,ESCORTS,ESCORTS KUBOTA,0,,0,0.05,1,EQ,NSE,NSE,0.6038709677419356,0.47368421052631576,0.4761904761904762,1.0,0.33407297830375066,-0.20779640540765765
5633,22,ACC,ACC,0,,0,0.05,1,EQ,NSE,NSE,0.5832258064516128,0.21052631578947367,0.46095238095238095,1.0,0.7491464343171012,-0.2097779034833922
3861249,15083,ADANIPORTS,ADANI PORT & SEZ,0,,0,0.05,1,EQ,NSE,NSE,0.5883870967741937,0.42105263157894735,0.4495238095238095,0.6666666666666666,0.5076673654977639,-0.21142075904755478
232961,910,EICHERMOT,EICHER MOTORS,0,,0,0.05,1,EQ,NSE,NSE,0.5599999999999999,0.21052631578947367,0.38476190476190475,0.3333333333333333,-0.3900107271901813,-0.216922016549865
897537,3506,TITAN,TITAN COMPANY,0,,0,0.05,1,EQ,NSE,NSE,0.5935483870967742,0.0,0.3961904761904762,0.3333333333333333,-0.4342384643780021,-0.21973181077596754
794369,3103,SHREECEM,SHREE CEMENT,0,,0,0.05,1,EQ,NSE,NSE,0.6038709677419355,0.5263157894736842,0.40761904761904766,0.3333333333333333,0.7878474393794815,-0.2225642030697155
149249,583,CANFINHOME,CAN FIN HOMES,0,,0,0.05,1,EQ,NSE,NSE,0.5815053763440862,0.21052631578947367,0.4533333333333334,0.3333333333333333,0.4866498055532821,-0.22308281194783666
3689729,14413,PAGEIND,PAGE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.6012903225806453,0.5263157894736842,0.41904761904761906,0.3333333333333333,-0.12277762259260003,-0.22428788762329244
523009,2043,RAMCOCEM,THE RAMCO CEMENTS,0,,0,0.05,1,EQ,NSE,NSE,0.5858064516129033,0.0,0.41904761904761906,0.3333333333333333,0.2548384004218225,-0.22827694834848966
738561,2885,RELIANCE,RELIANCE INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.5995698924731182,0.3684210526315789,0.3961904761904762,0.0,-0.29576667141710455,-0.23649663914959176
