instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange,signal_1_1d,signal_2_1d,signal_3_1d,signal_1_7d,signal_2_7d,signal_3_7d,signal_1_31d,signal_2_31d,signal_3_31d
3365633,13147,PVRINOX,PVR INOX,0,,0,0.05,1,EQ,NSE,NSE,0.915662651,0,-1.120967742,0.561285141,0.5,0.198922865,0.624806322,0.4,-0.178489656
2863105,11184,IDFCFIRSTB,IDFC FIRST BANK,0,,0,0.05,1,EQ,NSE,NSE,0.65060241,0,-1.142857143,0.458657487,0,1.093877551,0.492385024,0,-0.295050156
5105409,19943,DEEPAKNTR,DEEPAK NITRITE,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,-1.1625,0.534985657,0.25,0.037524234,0.589620417,0.25,-0.336497954
5573121,21770,ICICIGI,ICICI LOMBARD GIC,0,,0,0.05,1,EQ,NSE,NSE,0.746987952,0,-1.175438596,0.495283993,0.25,-0.65545963,0.586677031,0.3,-0.178080913
3520257,13751,NAUKRI,INFO EDGE (I),0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,-1.196125908,0.531176133,0.25,0.070944481,0.624029019,0.3,0.116930436
387841,1515,INDIACEM,THE INDIA CEMENTS,0,,0,0.05,1,EQ,NSE,NSE,0.86746988,0,-1.208333333,0.53535284,0.5,0.573107448,0.579380749,0.2,-0.371373113
85761,335,BALKRISIND,BALKRISHNA IND.,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,-1.216216216,0.554767642,0.5,0.066997195,0.629356134,0.4,-0.161021751
1041153,4067,MARICO,MARICO,0,,0,0.05,1,EQ,NSE,NSE,0.771084337,0,-1.22972973,0.487297762,0,0.006520887,0.595196269,0.15,-0.445675505
140033,547,BRITANNIA,BRITANNIA INDUSTRIES,0,,0,0.05,1,EQ,NSE,NSE,0.891566265,0,-1.248275862,0.554033276,0.25,-0.466609432,0.611125793,0.2,-0.302872371
2865921,11195,INDIGO,INTERGLOBE AVIATION,0,,0,0.05,1,EQ,NSE,NSE,0.843373494,0,-1.266666667,0.524291452,0.25,-0.734441537,0.668926027,0.7,0.191290929
